author_channel_id,author_display_name,network_community,behavior_cluster,persona
UCMRn2_qeBU-D241T4I9h6Gw,@dr.Wario.1981,39,0,Casual Viewer
UCyAJ_RZhbHZM6zPvDN7aAxw,@Kitsuni_uzb,39,3,Casual Viewer
UC7ZXipwZKwbdz-A4YyNzLyw,@yashgarg8180,39,3,Casual Viewer
UCI1tpgLLYsXMAyeznv6kHHw,@bis-x3u,39,3,Casual Viewer
UCSG9mJSDa9p3cjpx2QsIgbQ,@Pingui_RL,41,3,Casual Viewer
UCT0h79LFLRti6bpaBvmefww,@Wealthy_Walter,41,3,Casual Viewer
UCTMjo5orJyfBzheyCpeN_6Q,@gautamvashishtha3923,41,0,Casual Viewer
UCTGmJkYPU_AhpyVo73C7FZg,@parshavshah8618,41,3,Casual Viewer
UCAOQ3xYTRIB7X0WdtNzMJbA,@srf9232,41,3,Casual Viewer
UC1WIPLKaeVLvT6tWRASLMUQ,@kodiakflooring6785,41,3,Casual Viewer
UCu_P1BpEsuN2xHOX1WuqOKQ,@henriksaarno1311,34,2,Casual Viewer
UCPoFLza--GCfWoDYcQ2c3Yw,@ricks8058,43,0,Casual Viewer
UCNvWgRrlOOdkTI0KIfTR9aQ,@TheTishantt,43,3,Casual Viewer
UCF0Q9sT3b-nhXVvrbQP-IHw,@santhoshsantho7235,43,3,Casual Viewer
UCPDAefNbJ9kEi-cqgMbwc4g,@RandyStacksTV,43,3,Casual Viewer
UCqn_bBsJW1Snp2g9Ard4XEA,@hoangh-c8i,44,3,Casual Viewer
UCYsIzDmunUryaxzg3ZTtKXA,@saraali665,44,3,Casual Viewer
UCja1OWSnOuJsnQh6ycEfUZQ,@jackyee1291,44,0,Casual Viewer
UCuuHHLKxUuVlK33pE7oaarA,@JohnSmith-bo5ei,44,0,Casual Viewer
UCOj7jMQKh0W6Y2n9Vwwfg0A,@michaelangelos5117,44,3,Casual Viewer
UC_5jXorqnrZ7YWtYOnlKgTg,@michaelmcclain7530,47,0,Casual Viewer
UC1s6AfH_NJ8w1JzcHEmeVDw,@huyen-s4r,47,3,Casual Viewer
UCZVjG5TdC2sewXIKPYZ9LQQ,@LearnQuantumComputersHere,47,3,Casual Viewer
UCTtxgsY4JmCYjb98w4mv8WA,@SelinaSrenco,47,3,Casual Viewer
UCbNGOv7CAeTQAZCTWVu-vkg,@cybinon,47,3,Casual Viewer
UC78yMW2FDHNwLgL7UDc47PA,@saadkarasu,10,3,Casual Viewer
UCPrXnpn0ZNvyWjfxQJNlFAw,@manwelgames2958,7,3,Casual Viewer
UCg3pvotd9aFEQFdqw3vEnww,@mohamedfouad4177,7,3,Casual Viewer
UCDtj_Su4FAFCH5SwzVo9mNA,@محمدالساكت-ج5ر,7,3,Casual Viewer
UCc8A72gtTQWofL-baWDetjw,@halimasadki-nr3jc,49,3,Casual Viewer
UC9ALPbRUOBJ9EVJ5RXoTatw,@ahmedemara4300,49,3,Casual Viewer
